fold_id,n_trades,gross_expectancy,net_expectancy,benchmark_expectancy,alpha_gross,alpha_net,hit_rate
0,25958,-0.00021621746150855424,-0.0012003006526461453,3.943503843964161e-05,-0.00025379640179677443,-0.001237880126388111,0.37472070267354957
1,26800,-9.902483830797116e-05,-0.0010831417113086259,7.403124445141335e-05,-0.0001406224792650773,-0.001124748673877978,0.38414179104477614
2,26779,-7.921872185146543e-05,-0.0010633412872488263,8.581871625354643e-05,-7.932842639691231e-05,-0.0010634756250784921,0.36558497329997386
3,27650,-0.00022328909641306104,-0.0012073702551203508,-7.593521387220214e-05,-0.0001522882267770015,-0.0011363679673241517,0.36256781193490056
4,26511,-0.0004003652181735422,-0.0013843954841409813,-0.0002595746015865555,-0.00012326254615651155,-0.0011072978497965607,0.3653200558258836
5,27582,-0.0003369049308423882,-0.0013209534356771679,-0.000105436428022565,-0.00022134756323661606,-0.0012053989768901574,0.3629541005003263
6,27113,-0.00032626368183758306,-0.001310315245031174,4.6361166336746974e-05,-0.00032609229074320284,-0.0013101572276729952,0.3770147161878066
7,27658,-9.928895876133588e-05,-0.0010834057558521877,0.00021343339297126297,-0.00027536523684743394,-0.0012594927705972462,0.37905850025309135
8,27729,-0.00025415453853880836,-0.0012382268263328386,-5.576938327970822e-05,-0.0001681577328301291,-0.0011522387081667298,0.34436871145731907
9,27403,-0.00032235556491563486,-0.001306408251325478,-0.0001847969580167336,-0.00011848549023162172,-0.0011025436583696339,0.34178739554063425
10,27175,-0.0003027192428721145,-0.0012867775728787308,-4.893663437966503e-05,-0.0002214078591035913,-0.0012054754938074306,0.3441398344066237
11,27470,-0.00030173905372499855,-0.0012857976654438571,-0.00021503551016315535,-0.0001187206801537992,-0.0011027700899554982,0.363887877684747
12,27720,-5.5451638467927875e-05,-0.0010395810346676556,0.000206975572005317,-0.0001583338749365624,-0.0011424931881854835,0.39401154401154403
13,28435,-0.00012835806879690895,-0.0011124665112511216,8.766884035567405e-05,-0.00019608085099180259,-0.0011801950260628073,0.3782662212062599
14,28928,-0.00012139484156794834,-0.001105505285295446,-1.519301759409417e-05,-0.00015910967287789655,-0.0011432049105721722,0.36801714601769914
